Neighborhood,Id,Estimate public assist; Total:,Margin of Error public assist; Total:,Estimate; Total: - With public assistance income,With public assistance income percentage,Estimate; Total: - No public assistance income,No public assistance income percentage
Allegheny Center,1,870,93,20,2.298850575,850,97.70114943
Allegheny West,2,146,36,9,6.164383562,137,93.83561644
Allentown,3,1069,132.4575404,141,13.1898971,928,86.8101029
Arlington,4,701,104.4653052,26,3.708987161,675,96.29101284
Arlington Heights,5,144,59,8,5.555555556,136,94.44444444
Banksville,6,1946,229.2225992,18,0.924974306,1928,99.07502569
Bedford Dwellings,7,723,53,149,20.60857538,574,79.39142462
Beechview,8,3567,258.0271304,110,3.083823942,3457,96.91617606
Beltzhoover,9,848,156.0576816,82,9.669811321,766,90.33018868
Bloomfield,10,4571,205.4945255,124,2.712754321,4447,97.28724568
Bluff,11,240,47,16,6.666666667,224,93.33333333
Bon Air,12,372,71,13,3.494623656,359,96.50537634
Brighton Heights,13,3222,192.2342321,138,4.283054004,3084,95.716946
Brookline,14,5843,327.6949801,169,2.89234982,5674,97.10765018
California-Kirkbride,15,333,38,59,17.71771772,274,82.28228228
Carrick,16,4301,277.61304,241,5.603348059,4060,94.39665194
Central Business District,17,1968,221.438479,60,3.048780488,1908,96.95121951
Central Lawrenceville,18,2338,171.5721423,76,3.250641574,2262,96.74935843
Central Northside,19,1479,113.9298029,99,6.693711968,1380,93.30628803
Central Oakland,20,1903,157.3975858,28,1.471361009,1875,98.52863899
Chartiers City,21,271,60,0,0,271,100
Chateau,22,3,3,0,0,3,100
Crafton Heights,23,1677,126.7951103,105,6.26118068,1572,93.73881932
Crawford-Roberts,24,1125,138.5929291,144,12.8,981,87.2
Duquesne Heights,25,1170,125.2078272,8,0.683760684,1162,99.31623932
East Allegheny,26,1302,155.0516043,113,8.678955453,1189,91.32104455
East Carnegie,27,264,39,9,3.409090909,255,96.59090909
East Hills,28,1325,165.5083079,159,12,1166,88
East Liberty,29,2902,249.2488716,249,8.580289456,2653,91.41971054
Elliott,30,953,120.3702621,29,3.043022036,924,96.95697796
Esplen,31,142,48,11,7.746478873,131,92.25352113
Fairywood,32,428,81,9,2.102803738,419,97.89719626
Fineview,33,624,108.9311709,79,12.66025641,545,87.33974359
Friendship,34,1074,122.0655562,20,1.862197393,1054,98.13780261
Garfield,35,1571,116.9144987,172,10.94844048,1399,89.05155952
Glen Hazel,36,241,80,39,16.18257261,202,83.81742739
Greenfield,37,3438,251.7081643,43,1.250727167,3395,98.74927283
Hays,38,185,43,5,2.702702703,180,97.2972973
Hazelwood,39,1870,201.8811532,138,7.379679144,1732,92.62032086
Highland Park,40,2977,243.9733592,28,0.940544172,2949,99.05945583
Homewood North,41,1210,129.645671,290,23.96694215,920,76.03305785
Homewood South,42,1082,116.9016681,155,14.32532348,927,85.67467652
Homewood West,43,392,75.00666637,53,13.52040816,339,86.47959184
Knoxville,44,1510,218.7167118,132,8.741721854,1378,91.25827815
Larimer,45,652,91.7496594,52,7.975460123,600,92.02453988
Lincoln Place,46,1460,139.907112,33,2.260273973,1427,97.73972603
Lincoln-Lemington-Belmar,47,1959,154.4668249,191,9.749872384,1768,90.25012762
Lower Lawrenceville,48,1257,125.399362,90,7.159904535,1167,92.84009547
Manchester,49,984,119.3314711,64,6.504065041,920,93.49593496
Marshall-Shadeland,50,1565,182.6554133,88,5.623003195,1477,94.37699681
Middle Hill,51,926,122.0860352,67,7.235421166,859,92.76457883
Morningside,52,1534,141.5556428,40,2.60756193,1494,97.39243807
Mount Oliver Borough,53,1465,173.8907703,158,10.78498294,1307,89.21501706
Mount Washington,54,4385,249.523546,133,3.033067275,4252,96.96693273
Mt. Oliver,55,261,57,2,0.766283525,259,99.23371648
New Homestead,56,379,32,3,0.791556728,376,99.20844327
North Oakland,57,2972,230.5168107,60,2.01884253,2912,97.98115747
North Shore,58,154,45.12205669,0,0,154,100
Northview Heights,59,510,81,126,24.70588235,384,75.29411765
Oakwood,60,552,46,18,3.260869565,534,96.73913043
Overbrook,61,1594,104.1441309,27,1.693851945,1567,98.30614806
Perry North,62,1625,132.238421,32,1.969230769,1593,98.03076923
Perry South,63,1630,164.2893788,123,7.54601227,1507,92.45398773
Point Breeze,64,2342,137.4336203,16,0.683176772,2326,99.31682323
Point Breeze North,65,996,148.7212157,4,0.401606426,992,99.59839357
Polish Hill,66,710,77.89736838,15,2.112676056,695,97.88732394
Regent Square,67,476,28,0,0,476,100
Ridgemont,68,162,46,0,0,162,100
Shadyside,69,7484,360.9196586,25,0.334045965,7459,99.66595404
Sheraden,70,2202,195.2690452,166,7.538601272,2036,92.46139873
South Oakland,71,1155,150.512458,18,1.558441558,1137,98.44155844
South Shore,72,8,9,0,0,8,100
South Side Flats,73,3311,264.5675717,50,1.510117789,3261,98.48988221
South Side Slopes,74,1988,173.3291666,76,3.822937626,1912,96.17706237
Spring Garden,75,397,60.81118318,28,7.052896725,369,92.94710327
Spring Hill-City View,76,1080,138.1665661,199,18.42592593,881,81.57407407
Squirrel Hill North,77,3370,187.8909258,30,0.890207715,3340,99.10979228
Squirrel Hill South,78,7211,332.6018641,128,1.775065872,7083,98.22493413
St. Clair,79,101,42,14,13.86138614,87,86.13861386
Stanton Heights,80,2056,129.0465032,23,1.118677043,2033,98.88132296
Strip District,81,520,53,0,0,520,100
Summer Hill,82,517,16,7,1.353965184,510,98.64603482
Swisshelm Park,83,577,58,5,0.866551127,572,99.13344887
Terrace Village,84,831,105.2710786,121,14.56077016,710,85.43922984
Troy Hill,85,1158,147.8005413,39,3.367875648,1119,96.63212435
Upper Hill,86,942,159.9656213,65,6.900212314,877,93.09978769
Upper Lawrenceville,87,1287,137.0912105,53,4.118104118,1234,95.88189588
West End,88,99,47,10,10.1010101,89,89.8989899
West Oakland,89,630,79.61155695,146,23.17460317,484,76.82539683
Westwood,90,1492,112.5388822,36,2.412868633,1456,97.58713137
Windgap,91,647,100.124922,45,6.955177743,602,93.04482226